abbr	ar	bn	cy	de	en	eo	es	fr	he	hi	in	ja	ko	la	pt	ru	sw	tl	ur	yi	zh	zu
language	ARABIC	BENGALI	WELSH	GERMAN	ENGLISH	ESPERANTO	SPANISH	FRENCH	HEBREW	HINDI	INDONESIAN	JAPANESE	KOREAN	LATIN	PORTUGUESE	RUSSIAN	SWAHILI	TAGOLOG	URDU	YIDDISH	CHINESE	ZULU
ABS	عضلات المعدة	অ্যাবস	ABS	ABS	ABS	ABS	ABDOMINALES	ABDOS	שרירי בטן	पेट	ABS	腹筋	ABS	ABS	ABDÔMEN	АБС	ABS	ABS	ABS	אַבס	腹肌	-VALEKE
AND	و	এবং	A	UND	AND	KAJ	Y	ET	וכן	और	DAN	と	그리고	ET	E	И	NA	AT	اور	און	和	NA-
ATN	ATN	ATN	ATN	ATN	ATN	ATN	ATN	ATN	אטן	एटीएन	ATN	ATN	ATN	ATN	ATN	АТ	ATN	ATN	ATN	TTN	ATN	AT
BASE	قاعدة	বেস	SEILIANT	BASE	BASE	BAZO	BASE	BASE	בסיס	आधार	BASIS	ベース	베이스	BASIS	BASE	БАЗА	MSINGI	BASE	بنیاد	באַזע	根据	ISIZINDA
CHR	CHR	CHR	GR	CHR	CHR	ĈR	CHR	CHROUSSER	CHR	सीएचआर	CHR	CHR	CHR	CHR	CHR	ХР	CHR	CHR	CHR	טשר	CHR	CHR
COS	كوس	কোস	GOSAU	COS	COS	COS	COSTILLA	COS	חַסַת עָלִים	भंडार नियंत्रक	COS	COS	코사인	COS	COS	ПОСАДКА	COS	COS	کیونکہ	קאָס	COS	ICONSI
DATA	بيانات	ডেটা	DATA	DATEN	DATA	DATUMOJ	DATOS	DONNÉES	נתונים	आंकड़े	DATA	データ	데이터	NOTITIA	DADOS	ДАННЫЕ	TAKWIMU	DATA	ڈیٹا	דאַטע	数据	UMBHALO
DBL	DBL	ডিবিএল	DBL	DBL	DBL	DBL	DBL	DBL	DBL	ऋणात्मक	DBL	DBL	DBL	DBL	DBL	DBL	DBL	DBL	ڈی بی ایل	דבל	DBL	DLB
DEF	ديف	ডিফ	DEF	DEF	DEF	DEF	DEFENSOR	DEF	DEF	डीईएफ़	DEF	DEF	데프	C	DEF	ДЕФЕКТ	DEF	DEF	ڈیف	DEATH	防御	UKUKHANISA
DIM	خافت	ম্লান	PYLER	DÜSTER	DIM	DIM	OSCURO	FAIBLE	עָמוּם	मंद	REDUP	薄暗い	어둑한	CALIGO	ESCURECIDO	ТУСКЛЫЙ	DIM	MALABO	مدھم	טונקל	暗淡	FUSHANE
END	نهاية	শেষ	TERFYNA ’	ENDE	END	FINO	FIN	FIN	סוֹף	अंत	AKHIR	終わり	끝	FINIS	FIM	КОНЕЦ	MWISHO	MAGTAPOS	آخر	ויסלאָזן	结尾	UKUGCINA
EXP	إكسب	এক্সপ্রেস	EXP	EXP	EXP	EXP	EXP	EXP	EXP	ऍक्स्प	EXP	EXP	EXP	OPSTO	EXP	ЭКСПЛУАТ	EXP	EXP	ختم	עקספּ	经验	EKHOKHA
FOR	من	জন্য	DROS	FÜR	FOR	POR	PARA	POUR	מ	के लिए	UNTUK	ために	을 위한	ENIM	DE	ДЛЯ	KUTOKA	PARA SA	کے لئے	פון	为了	INGOMANE
GOSUB	جوسوب	গোসাব	GOSUB	GOSUB	GOSUB	GOSUB	GOSUB	GOSUB	גוסוב	गोसुब	GOSUB	GOSUB	부르다	CAESIM	GOSUB	ГОСУБ	GOSUB	GOSUB	گوسب	גאָסוב	GOSUB	INGQINAPHE
GOTO	اذهب إلى	যাও	MYND I	GEHE ZU	GOTO	IRU AL	IR A	ALLER À	לך ל	के लिए जाओ	PERGI KE	GOTO	도약	GOTO	VÁ PARA	ИДТИ К	ENDA KWA	PUMUNTA SA	کے پاس جاؤ	גיי צו	去	IYA KU
IF	لو	যদি	OS	WENN	IF	SE	SI	SI	אם	अगर	JIKA	もしも	만약에	SI	SE	ЕСЛИ	KAMA	KUNG	اگر	ויב	如果	NXA
