####
# autotranslation for the "arabic" language
####
#
# THIS FILE WAS AUTOMATICALLY GENERATED
#
# this file was autogenerated from google translate
# there are bound to be problems, mistranslations, and cultural problems
#
# it is our sincerest hope that these will be corrected by the community
# over time
#
# we kindly ask for your patience, and any contributions you may wish to make
#
# the dev team is not fluent in these languages, and no actual offense is intended
#
# obviously, many of these can be shortened.  to do so properly would take
# a fluent language speaker who is also familiar with the BASIC programming
# language
#
# this file should be utf8
# entries on the left are the actual BASIC keywords
# entries on the right are the native versions of those keywords
# blank lines are allowed

[keywords]

# from ECMA-55 §5.2

END <= نهاية          # the end statement

# from ECMA-55 §9

ABS <= قيمهمطلقه          # the absolute value function
ATN <= عكسالظل          # the trigonomic arctangent function
COS <= جيبالتمام          # the trigonomic cosine function
EXP <= متسارع          # the exponential / power function
INT <= عددصحيح          # the integer / floor function
LOG <= لوغاريتم          # the natural log function
RND <= لفافة          # generate random number
SGN <= لافتة          # determine the sign
SIN <= جيب          # the trigonomic sine function
SQR <= الجذرالتربيعي          # the square root function
TAN <= الظل          # the trigonomic tangent function
DBL <= مزدوج          # convert to double

# from ECMA-55 §10

DEF <= يعرف          # for user defined functions

# from ECMA-55 §11

LET <= يترك          # for variable assignment

# from ECMA-55 §12
# NB: ECMA-55 has no ELSE statement

GO <= يذهب            # part of the GOTO and GOSUB
GOSUB <= يتصل      # formed from GO and SUB if no direct translation exists
GOTO <= القفز        # formed from GO and TO if no direct translation exists
TO <= ل            # part of for/to/step/next constructs
IF <= لو            # part of if/then constructs
THEN <= ثم        # part of if/then constructs
SUB <= الفرعية          # beware, used as part of "go sub"
ON <= يحول            # a sort of a switch statement
RETURN <= يعود    # used to exit a subroutine
STOP <= تمالانتهاءمن        # command to stop execution

# from ECMA-55 §13
# NB: translation for TO is in §12

FOR <= من          # part of for/to/step/next constructs
STEP <= خطوة        # part of for/to/step/next constructs
NEXT <= التالي        # part of for/to/step/next constructs

# from ECMA-55 §14

PRINT <= مطبعة      # to print things out

# from ECMA-55 §15

INPUT <= مدخل      # the input statement

# from ECMA-55 §16

READ <= يقرأ        # part of read / restore
RESTORE <= يعيد  # part of read / restore

# from ECMA-55 §17

DATA <= بيانات        # to embed data in the program

# from ECMA-55 §18

DIM <= البعد          # dimension arrays
OPTION <= خيار    # see ECMA-55 §18.1
BASE <= قاعدة        # see ECMA-55 §18.1

# from ECMA-55 §19

REM <= ملاحظة          # see ECMA-55 §18.1

# from ECMA-55 §20

RANDOMIZE <= عشوائي

#### end of ECMA-55 defined constants
#
# it is worth noting that the following constants,
# while they may appear in other versions of BASIC,
# do NOT appear in ECMA-55:
#
# LOOP <= LOOP  # designed to evoke an error for testing

[errors]

# error messages

err0|خطأ: ملف {0s}, خط {1i}, عمود {2i}

