####
# autotranslation for the "urdu" language
####
#
# THIS FILE WAS AUTOMATICALLY GENERATED
#
# this file was autogenerated from google translate
# there are bound to be problems, mistranslations, and cultural problems
#
# it is our sincerest hope that these will be corrected by the community
# over time
#
# we kindly ask for your patience, and any contributions you may wish to make
#
# the dev team is not fluent in these languages, and no actual offense is intended
#
# obviously, many of these can be shortened.  to do so properly would take
# a fluent language speaker who is also familiar with the BASIC programming
# language
#
# this file should be utf8
# entries on the left are the actual BASIC keywords
# entries on the right are the native versions of those keywords
# blank lines are allowed

[keywords]

# from ECMA-55 §5.2

END <= آخر          # the end statement

# from ECMA-55 §9

ABS <= مطلققیمت          # the absolute value function
ATN <= الٹاٹینجنٹ          # the trigonomic arctangent function
COS <= کوسائن          # the trigonomic cosine function
EXP <= کفایتشعاری          # the exponential / power function
INT <= انٹیجر          # the integer / floor function
LOG <= لوگرتھم          # the natural log function
RND <= بےترتیب          # generate random number
SGN <= دستخطکریں          # determine the sign
SIN <= SINE          # the trigonomic sine function
SQR <= مربعجڑ          # the square root function
TAN <= ٹینجینٹ          # the trigonomic tangent function
DBL <= دگنا          # convert to double

# from ECMA-55 §10

DEF <= وضاحتکریں          # for user defined functions

# from ECMA-55 §11

LET <= دو          # for variable assignment

# from ECMA-55 §12
# NB: ECMA-55 has no ELSE statement

GO <= جاؤ            # part of the GOTO and GOSUB
GOSUB <= کالکریں      # formed from GO and SUB if no direct translation exists
GOTO <= چھلانگ        # formed from GO and TO if no direct translation exists
TO <= TO            # part of for/to/step/next constructs
IF <= اگر            # part of if/then constructs
THEN <= پھر        # part of if/then constructs
SUB <= سب          # beware, used as part of "go sub"
ON <= پر            # a sort of a switch statement
RETURN <= واپس    # used to exit a subroutine
STOP <= بندکرو        # command to stop execution

# from ECMA-55 §13
# NB: translation for TO is in §12

FOR <= کےلئے          # part of for/to/step/next constructs
STEP <= مرحلہ        # part of for/to/step/next constructs
NEXT <= اگلے        # part of for/to/step/next constructs

# from ECMA-55 §14

PRINT <= پرنٹکریں      # to print things out

# from ECMA-55 §15

INPUT <= انپٹ      # the input statement

# from ECMA-55 §16

READ <= پڑھیں        # part of read / restore
RESTORE <= بحالکریں  # part of read / restore

# from ECMA-55 §17

DATA <= ڈیٹا        # to embed data in the program

# from ECMA-55 §18

DIM <= طولوعرض          # dimension arrays
OPTION <= آپشن    # see ECMA-55 §18.1
BASE <= بنیاد        # see ECMA-55 §18.1

# from ECMA-55 §19

REM <= تبصرہ          # see ECMA-55 §18.1

# from ECMA-55 §20

RANDOMIZE <= بےترتیب

#### end of ECMA-55 defined constants
#
# it is worth noting that the following constants,
# while they may appear in other versions of BASIC,
# do NOT appear in ECMA-55:
#
# LOOP <= LOOP  # designed to evoke an error for testing

[errors]

# error messages

err0|غلطی: فائل {0s}, لائن {1i}, کالم {2i}

