####
# autotranslation for the "welsh" language
####
#
# THIS FILE WAS AUTOMATICALLY GENERATED
#
# this file was autogenerated from google translate
# there are bound to be problems, mistranslations, and cultural problems
#
# it is our sincerest hope that these will be corrected by the community
# over time
#
# we kindly ask for your patience, and any contributions you may wish to make
#
# the dev team is not fluent in these languages, and no actual offense is intended
#
# obviously, many of these can be shortened.  to do so properly would take
# a fluent language speaker who is also familiar with the BASIC programming
# language
#
# this file should be utf8
# entries on the left are the actual BASIC keywords
# entries on the right are the native versions of those keywords
# blank lines are allowed

[keywords]

# from ECMA-55 §5.2

END <= TERFYNA          # the end statement

# from ECMA-55 §9

ABS <= GWERTHABSOLIWT          # the absolute value function
ATN <= TANGIADGWRTHDRO          # the trigonomic arctangent function
COS <= NGHOSIN          # the trigonomic cosine function
EXP <= ESBONYDDOL          # the exponential / power function
INT <= GYFANRIF          # the integer / floor function
LOG <= LOGARITHM          # the natural log function
RND <= TROLIA          # generate random number
SGN <= ARWYDDEM          # determine the sign
SIN <= SEIN          # the trigonomic sine function
SQR <= AILISRADD          # the square root function
TAN <= TANGIAD          # the trigonomic tangent function
DBL <= DYBLWCH          # convert to double

# from ECMA-55 §10

DEF <= DDIFFINIA          # for user defined functions

# from ECMA-55 §11

LET <= GADAWN          # for variable assignment

# from ECMA-55 §12
# NB: ECMA-55 has no ELSE statement

GO <= AETHANT            # part of the GOTO and GOSUB
GOSUB <= ALWA      # formed from GO and SUB if no direct translation exists
GOTO <= BEICASID        # formed from GO and TO if no direct translation exists
TO <= ATO            # part of for/to/step/next constructs
IF <= OS            # part of if/then constructs
THEN <= YNA        # part of if/then constructs
SUB <= HWB          # beware, used as part of "go sub"
ON <= SWITSITH            # a sort of a switch statement
RETURN <= DDYCHWELO    # used to exit a subroutine
STOP <= GORFFENEDIG        # command to stop execution

# from ECMA-55 §13
# NB: translation for TO is in §12

FOR <= ODDIWRTH          # part of for/to/step/next constructs
STEP <= CAMOCH        # part of for/to/step/next constructs
NEXT <= NESAF        # part of for/to/step/next constructs

# from ECMA-55 §14

PRINT <= PRINTIWYD      # to print things out

# from ECMA-55 §15

INPUT <= FEWNBYNNEM      # the input statement

# from ECMA-55 §16

READ <= DARLLENASIT        # part of read / restore
RESTORE <= HATGYWEIRIFF  # part of read / restore

# from ECMA-55 §17

DATA <= DATA        # to embed data in the program

# from ECMA-55 §18

DIM <= DIMENSIWN          # dimension arrays
OPTION <= OPSIWN    # see ECMA-55 §18.1
BASE <= SEILIANT        # see ECMA-55 §18.1

# from ECMA-55 §19

REM <= SYLW          # see ECMA-55 §18.1

# from ECMA-55 §20

RANDOMIZE <= ARHAP

#### end of ECMA-55 defined constants
#
# it is worth noting that the following constants,
# while they may appear in other versions of BASIC,
# do NOT appear in ECMA-55:
#
# LOOP <= LOOP  # designed to evoke an error for testing

[errors]

# error messages

err0|GWALLAU: ffeiliwch {0s}, leinith {1i}, golofnau {2i}

